x0000,y0000
-0.1,-0.3871890921,
-0.09797979798,-0.4309753734,
-0.09595959596,-0.4807901964,
-0.09393939394,-0.5376085266,
-0.09191919192,-0.6025847933,
-0.0898989899,-0.6770892749,
-0.08787878788,-0.7627522683,
-0.08585858586,-0.8615176667,
-0.08383838384,-0.9757078273,
-0.08181818182,-1.108101847,
-0.0797979798,-1.26202951,
-0.07777777778,-1.441483104,
-0.07575757576,-1.651248853,
-0.07373737374,-1.897058501,
-0.07171717172,-2.185759054,
-0.0696969697,-2.525493962,
-0.06767676768,-2.92588057,
-0.06565656566,-3.398154327,
-0.06363636364,-3.955226623,
-0.06161616162,-4.611565629,
-0.0595959596,-5.38275236,
-0.05757575758,-6.284481381,
-0.05555555556,-7.330664867,
-0.05353535354,-8.53016951,
-0.05151515152,-9.881606352,
-0.04949494949,-11.36559927,
-0.04747474747,-12.93426604,
-0.04545454545,-14.4985515,
-0.04343434343,-15.915877,
-0.04141414141,-16.98336304,
-0.03939393939,-17.44482003,
-0.03737373737,-17.02048673,
-0.03535353535,-15.4637546,
-0.03333333333,-12.63706085,
-0.03131313131,-8.58364902,
-0.02929292929,-3.563256286,
-0.02727272727,1.972450449,
-0.02525252525,7.465694538,
-0.02323232323,12.37434322,
-0.02121212121,16.28861346,
-0.01919191919,19.00395086,
-0.01717171717,20.53041602,
-0.01515151515,21.04586354,
-0.01313131313,20.82053632,
-0.01111111111,20.14417169,
-0.009090909091,19.27536815,
-0.007070707071,18.41748872,
-0.005050505051,17.71488354,
-0.00303030303,17.25995328,
-0.00101010101,17.1030263,
0.00101010101,17.25995328,
0.00303030303,17.71488354,
0.005050505051,18.41748872,
0.007070707071,19.27536815,
0.009090909091,20.14417169,
0.01111111111,20.82053632,
0.01313131313,21.04586354,
0.01515151515,20.53041602,
0.01717171717,19.00395086,
0.01919191919,16.28861346,
0.02121212121,12.37434322,
0.02323232323,7.465694538,
0.02525252525,1.972450449,
0.02727272727,-3.563256286,
0.02929292929,-8.58364902,
0.03131313131,-12.63706085,
0.03333333333,-15.4637546,
0.03535353535,-17.02048673,
0.03737373737,-17.44482003,
0.03939393939,-16.98336304,
0.04141414141,-15.915877,
0.04343434343,-14.4985515,
0.04545454545,-12.93426604,
0.04747474747,-11.36559927,
0.04949494949,-9.881606352,
0.05151515152,-8.53016951,
0.05353535354,-7.330664867,
0.05555555556,-6.284481381,
0.05757575758,-5.38275236,
0.0595959596,-4.611565629,
0.06161616162,-3.955226623,
0.06363636364,-3.398154327,
0.06565656566,-2.92588057,
0.06767676768,-2.525493962,
0.0696969697,-2.185759054,
0.07171717172,-1.897058501,
0.07373737374,-1.651248853,
0.07575757576,-1.441483104,
0.07777777778,-1.26202951,
0.0797979798,-1.108101847,
0.08181818182,-0.9757078273,
0.08383838384,-0.8615176667,
0.08585858586,-0.7627522683,
0.08787878788,-0.6770892749,
0.0898989899,-0.6025847933,
0.09191919192,-0.5376085266,
0.09393939394,-0.4807901964,
0.09595959596,-0.4309753734,
0.09797979798,-0.3871890921,
