x0000,y0000
-0.1,-0.370996823,
-0.09797979798,-0.4107275443,
-0.09595959596,-0.4555787316,
-0.09393939394,-0.5063150922,
-0.09191919192,-0.5638290585,
-0.0898989899,-0.6291636788,
-0.08787878788,-0.7035396261,
-0.08585858586,-0.7883869556,
-0.08383838384,-0.8853822501,
-0.08181818182,-0.9964917434,
-0.0797979798,-1.124020851,
-0.07777777778,-1.270670193,
-0.07575757576,-1.439597539,
-0.07373737374,-1.634483987,
-0.07171717172,-1.859600797,
-0.0696969697,-2.11987027,
-0.06767676768,-2.42090932,
-0.06565656566,-2.769037081,
-0.06363636364,-3.171217035,
-0.06161616162,-3.634888335,
-0.0595959596,-4.167618871,
-0.05757575758,-4.776483203,
-0.05555555556,-5.467032218,
-0.05353535354,-6.241682546,
-0.05151515152,-7.097324469,
-0.04949494949,-8.021953136,
-0.04747474747,-8.990217301,
-0.04545454545,-9.9580278,
-0.04343434343,-10.85687002,
-0.04141414141,-11.5892949,
-0.03939393939,-12.02816983,
-0.03737373737,-12.02329844,
-0.03535353535,-11.41913485,
-0.03333333333,-10.08528769,
-0.03131313131,-7.956403104,
-0.02929292929,-5.070650803,
-0.02727272727,-1.590206061,
-0.02525252525,2.211473522,
-0.02323232323,5.999068218,
-0.02121212121,9.447493663,
-0.01919191919,12.31041399,
-0.01717171717,14.46088703,
-0.01515151515,15.89455522,
-0.01313131313,16.70270573,
-0.01111111111,17.03165948,
-0.009090909091,17.04398083,
-0.007070707071,16.89022331,
-0.005050505051,16.69286413,
-0.00303030303,16.53974579,
-0.00101010101,16.4829748,
0.00101010101,16.53974579,
0.00303030303,16.69286413,
0.005050505051,16.89022331,
0.007070707071,17.04398083,
0.009090909091,17.03165948,
0.01111111111,16.70270573,
0.01313131313,15.89455522,
0.01515151515,14.46088703,
0.01717171717,12.31041399,
0.01919191919,9.447493663,
0.02121212121,5.999068218,
0.02323232323,2.211473522,
0.02525252525,-1.590206061,
0.02727272727,-5.070650803,
0.02929292929,-7.956403104,
0.03131313131,-10.08528769,
0.03333333333,-11.41913485,
0.03535353535,-12.02329844,
0.03737373737,-12.02816983,
0.03939393939,-11.5892949,
0.04141414141,-10.85687002,
0.04343434343,-9.9580278,
0.04545454545,-8.990217301,
0.04747474747,-8.021953136,
0.04949494949,-7.097324469,
0.05151515152,-6.241682546,
0.05353535354,-5.467032218,
0.05555555556,-4.776483203,
0.05757575758,-4.167618871,
0.0595959596,-3.634888335,
0.06161616162,-3.171217035,
0.06363636364,-2.769037081,
0.06565656566,-2.42090932,
0.06767676768,-2.11987027,
0.0696969697,-1.859600797,
0.07171717172,-1.634483987,
0.07373737374,-1.439597539,
0.07575757576,-1.270670193,
0.07777777778,-1.124020851,
0.0797979798,-0.9964917434,
0.08181818182,-0.8853822501,
0.08383838384,-0.7883869556,
0.08585858586,-0.7035396261,
0.08787878788,-0.6291636788,
0.0898989899,-0.5638290585,
0.09191919192,-0.5063150922,
0.09393939394,-0.4555787316,
0.09595959596,-0.4107275443,
0.09797979798,-0.370996823,
