# ===File generated by myModules.saveDict===
# Date: 2019-06-25 12:21:57.988344
# Obs.: 
#H z(mm), Bz(G)
-35.0, 43.5
-34.93493493493494, 43.522772772772775
-34.869869869869866, 43.545545545545544
-34.8048048048048, 43.56831831831832
-34.73973973973974, 43.591091091091094
-34.67467467467468, 43.61386386386386
-34.609609609609606, 43.63663663663664
-34.54454454454454, 43.65940940940941
-34.47947947947948, 43.68218218218218
-34.414414414414416, 43.70495495495496
-34.349349349349346, 43.72772772772773
-34.28428428428428, 43.7505005005005
-34.21921921921922, 43.773273273273276
-34.154154154154156, 43.796046046046044
-34.089089089089086, 43.81881881881882
-34.02402402402402, 43.841591591591595
-33.95895895895896, 43.86436436436436
-33.893893893893896, 43.88713713713714
-33.828828828828826, 43.90990990990991
-33.76376376376376, 43.93268268268268
-33.6986986986987, 43.95545545545546
-33.633633633633636, 43.978228228228225
-33.568568568568566, 44.001001001001
-33.5035035035035, 44.023773773773776
-33.43843843843844, 44.046546546546544
-33.373373373373376, 44.06931931931932
-33.308308308308305, 44.092092092092095
-33.24324324324324, 44.11486486486486
-33.17817817817818, 44.13763763763764
-33.113113113113116, 44.16041041041041
-33.048048048048045, 44.18318318318318
-32.98298298298298, 44.20595595595596
-32.91791791791792, 44.228728728728726
-32.852852852852855, 44.2515015015015
-32.787787787787785, 44.274274274274276
-32.72272272272272, 44.297047047047045
-32.65765765765766, 44.31981981981982
-32.592592592592595, 44.342592592592595
-32.527527527527525, 44.36536536536536
-32.46246246246246, 44.38813813813814
-32.3973973973974, 44.41091091091091
-32.332332332332335, 44.43368368368368
-32.267267267267265, 44.45645645645646
-32.2022022022022, 44.479229229229226
-32.13713713713714, 44.502002002002
-32.072072072072075, 44.52477477477478
-32.007007007007005, 44.54754754754755
-31.94194194194194, 44.57032032032032
-31.876876876876878, 44.593093093093096
-31.81181181181181, 44.615865865865864
-31.746746746746748, 44.63863863863864
-31.68168168168168, 44.661411411411414
-31.616616616616618, 44.68418418418418
-31.55155155155155, 44.70695695695696
-31.486486486486488, 44.729729729729726
-31.42142142142142, 44.7525025025025
-31.356356356356358, 44.77527527527528
-31.29129129129129, 44.798048048048045
-31.226226226226224, 44.82082082082082
-31.16116116116116, 44.843593593593596
-31.096096096096097, 44.866366366366364
-31.03103103103103, 44.88913913913914
-30.965965965965964, 44.911911911911915
-30.9009009009009, 44.93468468468468
-30.835835835835837, 44.95745745745746
-30.77077077077077, 44.980230230230234
-30.705705705705704, 45.003003003003
-30.64064064064064, 45.02577577577578
-30.575575575575577, 45.048548548548546
-30.51051051051051, 45.07132132132132
-30.445445445445444, 45.094094094094096
-30.38038038038038, 45.116866866866864
-30.315315315315317, 45.13963963963964
-30.25025025025025, 45.162412412412415
-30.185185185185183, 45.18518518518518
-30.12012012012012, 45.20795795795796
-30.055055055055057, 45.23073073073073
-29.98998998998999, 45.2535035035035
-29.924924924924923, 45.27627627627628
-29.85985985985986, 45.299049049049046
-29.794794794794797, 45.32182182182182
-29.72972972972973, 45.3445945945946
-29.664664664664663, 45.367367367367365
-29.5995995995996, 45.39014014014014
-29.534534534534533, 45.412912912912915
-29.46946946946947, 45.435685685685684
-29.404404404404403, 45.45845845845846
-29.33933933933934, 45.481231231231234
-29.274274274274273, 45.504004004004
-29.20920920920921, 45.52677677677678
-29.144144144144143, 45.54954954954955
-29.07907907907908, 45.57232232232232
-29.014014014014013, 45.5950950950951
-28.94894894894895, 45.617867867867865
-28.883883883883883, 45.64064064064064
-28.81881881881882, 45.663413413413416
-28.753753753753752, 45.686186186186184
-28.68868868868869, 45.70895895895896
-28.623623623623622, 45.731731731731735
-28.55855855855856, 45.7545045045045
-28.493493493493492, 45.77727727727728
-28.42842842842843, 45.80005005005005
-28.363363363363362, 45.82282282282282
-28.2982982982983, 45.8455955955956
-28.233233233233232, 45.868368368368365
-28.16816816816817, 45.89114114114114
-28.103103103103102, 45.913913913913916
-28.03803803803804, 45.936686686686684
-27.972972972972972, 45.95945945945946
-27.90790790790791, 45.982232232232235
-27.842842842842842, 46.005005005005
-27.77777777777778, 46.02777777777778
-27.71271271271271, 46.050550550550554
-27.647647647647645, 46.07332332332332
-27.58258258258258, 46.0960960960961
-27.51751751751752, 46.118868868868866
-27.45245245245245, 46.14164164164164
-27.387387387387385, 46.164414414414416
-27.32232232232232, 46.187187187187185
-27.25725725725726, 46.20995995995996
-27.19219219219219, 46.232732732732735
-27.127127127127125, 46.2555055055055
-27.06206206206206, 46.27827827827828
-26.996996996996998, 46.30105105105105
-26.93193193193193, 46.32382382382382
-26.866866866866864, 46.3465965965966
-26.8018018018018, 46.369369369369366
-26.736736736736738, 46.39214214214214
-26.67167167167167, 46.41491491491492
-26.606606606606604, 46.437687687687685
-26.54154154154154, 46.46046046046046
-26.476476476476478, 46.483233233233236
-26.41141141141141, 46.506006006006004
-26.346346346346344, 46.52877877877878
-26.28128128128128, 46.551551551551555
-26.216216216216218, 46.57432432432432
-26.15115115115115, 46.5970970970971
-26.086086086086084, 46.61986986986987
-26.02102102102102, 46.64264264264264
-25.955955955955957, 46.66541541541542
-25.89089089089089, 46.688188188188185
-25.825825825825824, 46.71096096096096
-25.76076076076076, 46.733733733733736
-25.695695695695697, 46.756506506506504
-25.63063063063063, 46.77927927927928
-25.565565565565564, 46.802052052052055
-25.5005005005005, 46.82482482482482
-25.435435435435437, 46.8475975975976
-25.37037037037037, 46.87037037037037
-25.305305305305303, 46.89314314314314
-25.24024024024024, 46.91591591591592
-25.175175175175177, 46.938688688688686
-25.11011011011011, 46.96146146146146
-25.045045045045043, 46.984234234234236
-24.97997997997998, 46.973973973973976
-24.914914914914917, 46.88938938938939
-24.84984984984985, 46.8048048048048
-24.784784784784783, 46.72022022022022
-24.71971971971972, 46.63563563563564
-24.654654654654657, 46.551051051051054
-24.58958958958959, 46.466466466466464
-24.524524524524523, 46.38188188188188
-24.45945945945946, 46.2972972972973
-24.394394394394393, 46.21271271271271
-24.329329329329326, 46.128128128128125
-24.264264264264263, 46.04354354354354
-24.1991991991992, 45.95895895895896
-24.134134134134133, 45.87437437437437
-24.069069069069066, 45.789789789789786
-24.004004004004003, 45.7052052052052
-23.93893893893894, 45.62062062062062
-23.873873873873872, 45.53603603603604
-23.808808808808806, 45.45145145145145
-23.743743743743742, 45.366866866866864
-23.67867867867868, 45.28228228228228
-23.613613613613612, 45.1976976976977
-23.548548548548546, 45.11311311311311
