x_1 [mm]	y_1 [G]	i_1 [A]
0.0	-15.5	1.0
5.0	-16.7	1.0
10.0	-16.5	1.0
15.0	-15.0	1.0
20.0	-11.6	1.0
25.0	-6.8	1.0
30.0	-1.6	1.0
35.0	2.6	1.0
40.0	7.7	1.0
45.0	11.6	1.0
50.0	14.7	1.0
55.0	15.9	1.0
60.0	15.6	1.0
65.0	13.4	1.0
32.0	0.0	1.0
30.0	-1.9	1.0
28.0	-3.6	1.0
26.0	-5.7	1.0
24.0	-7.2	1.0
22.0	-8.8	1.0
34.0	2.4	1.0
36.0	4.0	1.0
38.0	6.2	1.0
40.0	7.6	1.0
42.0	9.0	1.0
