x_1 [mm]	y_1 [G]	i_1 [A]
0.0	43.5	1.0
10.0	47.0	1.0
15.0	40.5	1.0
20.0	26.0	1.0
24.0	19.1	1.0
25.0	16.2	1.0
26.0	13.3	1.0
28.0	10.4	1.0
30.0	4.6	1.0
32.0	4.1	1.0
34.0	0.0	1.0
35.0	-4.0	1.0
36.0	-3.2	1.0
38.0	-6.4	1.0
40.0	-14.0	1.0
42.0	-14.6	1.0
44.0	-18.9	1.0
45.0	-24.7	1.0
46.0	-24.2	1.0
50.0	-35.4	1.0
55.0	-44.0	1.0
60.0	-47.8	1.0
65.0	-45.3	1.0




